year;date;day;month;id_st;lat;lon;farm_ID;inf_presente;dis_sea;dem;cum_max30;cum_avg26;avg_max_7d;avg_min_7d;avg_avg_7d;cum_prec;s_day_frost;s_min_avg;s_mean_avg;s_prec_cum;w_day_frost;w_min_avg;w_mean_avg;w_prec_cum;idr_bal_4;idr_bal_30d;gdd_oli;cum_gdd;doy;perc_inf
2002;37497;29;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;0;0;21.05561429;14.83944286;17.94752857;317.788;5;5.719866304;9.856467935;314.6397;52;0.081165833;3.5416625;280.0773;91.4797813;22.614837;1721.7487;878.6731;241;70
2002;37489;21;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;0;0;24.05832857;16.04242857;20.05037857;279.7152;5;5.719866304;9.856467935;314.6397;52;0.081165833;3.5416625;280.0773;75.85449007;-6.141899517;1618.95005;807.79445;233;70
2002;37482;14;8;3487;44.35718;9.93566;759;no;28235.6582;306.1425171;0;0;20.27281429;12.88081429;16.57681429;271.1971;5;5.719866304;9.856467935;314.6397;52;0.081165833;3.5416625;280.0773;91.4661319;21.68344845;1513.6099;730.3843;226;70
2002;37475;7;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;0;0;22.80022857;15.87017143;19.3352;227.572;5;5.719866304;9.856467935;314.6397;52;0.081165833;3.5416625;280.0773;69.88493162;28.82903376;1432.73545;677.43985;219;70
2002;37496;28;8;3543;44.24279;10.08211;1232;inf;22255.48438;465.6856384;0;0;22.58841429;16.62345714;19.60593571;297.3783;2;6.854238043;10.79671522;299.2667;41;1.671071667;4.872068333;335.3652;62.49861084;0.062045983;1874.10665;937.54515;240;70
2002;37496;28;8;3542;44.17551;10.04895;1233;inf;14318.02246;278.1228638;3.3331;0.7836;23.89924286;17.69415714;20.7967;282.5532;0;8.089395652;12.05417826;295.7562;26;2.791314167;6.046534583;335.8817;26.83083936;-3.522494133;2126.3966;1039.916491;240;70
2002;37489;21;8;3543;44.24279;10.08211;1232;inf;22255.48438;465.6856384;0;0;24.77595714;16.06691429;20.42143571;273.345;2;6.854238043;10.79671522;299.2667;41;1.671071667;4.872068333;335.3652;58.32433501;-7.354167457;1774.0237;865.3922;233;70
2002;37489;21;8;3542;44.17551;10.04895;1233;inf;14318.02246;278.1228638;3.3331;0.7836;26.16431429;17.02477143;21.59454286;262.735;0;8.089395652;12.05417826;295.7562;26;2.791314167;6.046534583;335.8817;28.05262856;-9.18552078;2018.0466;959.496491;233;70
2002;37482;14;8;3543;44.24279;10.08211;1232;inf;22255.48438;465.6856384;0;0;20.71537143;14.22974286;17.47255714;262.3933;2;6.854238043;10.79671522;299.2667;41;1.671071667;4.872068333;335.3652;72.83059856;15.09171006;1665.0349;784.3334;226;70
2002;37482;14;8;3542;44.17551;10.04895;1233;inf;14318.02246;278.1228638;3.3331;0.7836;21.90064286;15.46684286;18.68374286;253.9112;0;8.089395652;12.05417826;295.7562;26;2.791314167;6.046534583;335.8817;46.00519809;12.74073755;1900.26105;869.640941;226;70
